title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Berserk,2,Manga,380.0,41.0,On Hiatus,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']",9.44,1.0,"['Miura, Kentarou']",Young Animal
Boku no Hero Academia,75989,Manga,,,Publishing,['Action'],8.2,395.0,"['Horikoshi, Kouhei']",Shounen Jump (Weekly)
Boruto: Naruto Next Generations,95210,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",6.93,8461.0,"['Ikemoto, Mikio', 'Kodachi, Ukyou']",V-Jump
Break Blade,4608,Manga,,,Publishing,"['Action', 'Drama', 'Fantasy']",7.75,1343.0,"['Yoshinaga, Yunosuke']",Comic Meteor
Code Geass: Hangyaku no Lelouch,1528,Manga,40.0,8.0,Finished,"['Action', 'Drama', 'Sci-Fi', 'Supernatural']",7.61,1907.0,"['Taniguchi, Gorou', 'Ookouchi, Ichirou', 'Majiko!']",Asuka (Monthly)
Desuraba,114660,Manga,112.0,8.0,Finished,['Ecchi'],6.03,15047.0,"['Tomohiro, Kai', 'Kazutaka']",Magazine pocket
Jigokuraku,112318,Manga,128.0,13.0,Finished,['Action'],8.26,322.0,"['Kaku, Yuuji']",Shounen Jump+
Jujutsu Kaisen,113138,Manga,,,Publishing,"['Action', 'Fantasy']",8.56,92.0,"['Akutami, Gege']",Shounen Jump (Weekly)
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",100448,Manga,18.0,3.0,Finished,['Drama'],8.8,32.0,"['Taguchi, Shouichi', 'Miaki, Sugaru']",Shounen Jump+
Made in Abyss,91941,Manga,,,Publishing,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",8.79,33.0,"['Tsukushi, Akihito']",Web Comic Gamma
Mushoku Tensei: Isekai Ittara Honki Dasu,70259,Manga,,,Publishing,['Fantasy'],8.15,458.0,"['Fujikawa, Yuka', 'Rifujin na Magonote']",Comic Flapper
One Punch-Man,44347,Manga,,,Publishing,"['Action', 'Comedy']",8.73,44.0,"['Murata, Yusuke', 'ONE']",Tonari no Young Jump
Oyasumi Punpun,4632,Manga,147.0,13.0,Finished,"['Drama', 'Slice of Life']",9.04,8.0,"['Asano, Inio']",Big Comic Spirits
Sayonara Eri,145863,One-shot,1.0,,Finished,['Drama'],8.76,39.0,"['Fujimoto, Tatsuki']",Shounen Jump+
Undead Unluck,123956,Manga,,,Publishing,"['Action', 'Comedy', 'Supernatural']",7.21,5083.0,"['Tozuka, Yoshifumi']",Shounen Jump (Weekly)
Vinland Saga,642,Manga,,,Publishing,"['Action', 'Adventure', 'Award Winning', 'Drama']",8.99,10.0,"['Yukimura, Makoto']",Afternoon
Bastard,111213,Manhwa,94.0,5.0,Finished,"['Drama', 'Horror', 'Mystery', 'Romance']",8.55,97.0,"['Kim, Carnby', 'Hwang, Young-chan']",Naver Webtoon
Bleach,12,Manga,705.0,74.0,Finished,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",7.76,1290.0,"['Kubo, Tite']",Shounen Jump (Weekly)
Chainsaw Man,116778,Manga,97.0,11.0,Finished,"['Action', 'Adventure', 'Award Winning']",8.72,45.0,"['Fujimoto, Tatsuki']",Shounen Jump (Weekly)
Dr. Stone,103897,Manga,,26.0,Finished,"['Adventure', 'Award Winning', 'Sci-Fi']",8.21,373.0,"['Inagaki, Riichiro', 'Boichi']",Shounen Jump (Weekly)
Fire Punch,98270,Manga,83.0,8.0,Finished,"['Action', 'Mystery', 'Supernatural']",7.8,1164.0,"['Fujimoto, Tatsuki']",Shounen Jump+
Homunculus,936,Manga,166.0,15.0,Finished,"['Drama', 'Horror', 'Mystery', 'Supernatural']",8.34,232.0,"['Yamamoto, Hideo']",Big Comic Spirits
Houseki no Kuni,44489,Manga,,,Publishing,"['Action', 'Drama', 'Fantasy']",8.93,15.0,"['Ichikawa, Haruko']",Afternoon
JoJo no Kimyou na Bouken Part 6: Stone Ocean,3009,Manga,158.0,17.0,Finished,"['Action', 'Adventure']",8.25,333.0,"['Araki, Hirohiko']",Shounen Jump (Weekly)
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,1706,Manga,96.0,24.0,Finished,"['Action', 'Adventure', 'Horror', 'Mystery', 'Supernatural']",9.27,2.0,"['Araki, Hirohiko']",Ultra Jump
JoJo no Kimyou na Bouken Part 8: JoJolion,25515,Manga,110.0,27.0,Finished,"['Action', 'Adventure', 'Award Winning', 'Mystery', 'Supernatural']",8.45,149.0,"['Araki, Hirohiko']",Ultra Jump
Kimetsu no Yaiba,96792,Manga,207.0,23.0,Finished,"['Action', 'Fantasy']",8.3,272.0,"['Gotouge, Koyoharu']",Shounen Jump (Weekly)
Shingeki no Kyojin,23390,Manga,141.0,34.0,Finished,"['Action', 'Award Winning', 'Drama']",8.58,84.0,"['Isayama, Hajime']",Bessatsu Shounen Magazine
One Piece,13,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",9.18,3.0,"['Oda, Eiichiro']",Shounen Jump (Weekly)
Shigahime,110922,Manga,31.0,5.0,Finished,['Horror'],6.89,8870.0,"['Sato, Hirohisa']",Comic Zenon
"""Oshi no Ko""",126146,Manga,,,Publishing,"['Drama', 'Supernatural']",8.49,127.0,"['Akasaka, Aka', 'Yokoyari, Mengo']",Young Jump
1-nen A-gumi no Monster,112398,Manga,,,Publishing,['Drama'],6.47,13313.0,['Hideki'],Comic REX
Akai Kiri no Naka kara,129984,Manga,,,Publishing,[],7.45,2921.0,"['Nohara, Mosae']",GFantasy
Akai Ringo,131434,Manga,,,Publishing,"['Drama', 'Erotica']",6.0,,"['Murata, Kouji']",Comic Days
Asshou,104523,Manga,,,Publishing,"['Mystery', 'Romance', 'Slice of Life']",5.36,15481.0,['Shoko'],Ura Sunday
Ayakashi Triangle,127545,Manga,,,Publishing,"['Action', 'Comedy', 'Romance', 'Ecchi']",6.64,11742.0,"['Yabuki, Kentarou']",Shounen Jump (Weekly)
Blue Lock,114745,Manga,,,Publishing,"['Award Winning', 'Sports']",8.44,154.0,"['Kaneshiro, Muneyuki', 'Nomura, Yuusuke']",Shounen Magazine (Weekly)
Brutal: Satsujin Keisatsukan no Kokuhaku,122936,Manga,,,Publishing,['Drama'],7.84,1045.0,"['Koga, Kei', 'Izawa, Ryou']",Comic Tatan
Btooom!,20593,Manga,125.0,27.0,Finished,"['Action', 'Drama', 'Sci-Fi', 'Erotica']",7.56,,"['Inoue, Junya']",Comic@Bunch
Candy & Cigarettes,103444,Manga,54.0,11.0,Finished,['Action'],7.44,2955.0,"['Inoue, Tomonori']",Young Magazine (Monthly)
Chi no Wadachi,104271,Manga,,,Publishing,['Drama'],8.02,656.0,"['Oshimi, Shuuzou']",Big Comic Superior
Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin,106810,Manga,,,Publishing,"['Action', 'Fantasy']",7.36,3611.0,"['Kugayama, Reki', 'Kurokata']",Comp Ace
Choujin X,131403,Manga,,,Publishing,"['Action', 'Supernatural']",7.13,5943.0,"['Ishida, Sui']",Tonari no Young Jump
Dandadan,135496,Manga,,,Publishing,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural']",8.16,436.0,"['Tatsu, Yukinobu']",Shounen Jump+
Dead Tube,78943,Manga,,,Publishing,['Erotica'],6.69,,"['Kitakawa, Touta', 'Yamaguchi, Mikoto']",Champion RED
Deatte 5-byou de Battle,102690,Manga,,,Publishing,"['Action', 'Supernatural']",7.32,3999.0,"['Kashiwa, Miyako', 'Harawata, Saizou']",Ura Sunday
Dokuzakura,122355,Manga,33.0,5.0,Finished,"['Drama', 'Supernatural', 'Suspense', 'Ecchi']",6.51,12965.0,"['MITA', 'Yamamoto, Yamii']",MangaONE
"Dorei Tensei: Sono Dorei, Saikyou no Moto Ouji ni Tsuki",130626,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",6.88,9061.0,"['Karayumi', 'Haraguchi, Fuuta']",Magazine pocket
Dosanko Gal wa Namara Menkoi,121597,Manga,,,Publishing,['Comedy'],7.12,6117.0,"['Ikada, Kai']",Shounen Jump+
"Fukushuu wo Koinegau Saikyou Yuusha wa, Yami no Chikara de Senmetsu Musou suru",118026,Manga,,,Publishing,"['Action', 'Drama', 'Fantasy']",6.83,9678.0,"['Sakamoto, Akira', 'Ononata, Manimani']",Suiyoubi wa Mattari Dash X Comic
Fumetsu no Anata e,102343,Manga,,,Publishing,"['Adventure', 'Award Winning', 'Drama', 'Supernatural']",8.4,183.0,"['Ooima, Yoshitoki']",Shounen Magazine (Weekly)
Fushi no Sougishi,124020,Manga,,,Publishing,"['Action', 'Drama', 'Romance']",6.7,11102.0,"['Kiyomiya, Kousuke']",Ganma!
Fushigi Neko no Kyuu-chan,112694,Manga,,,Publishing,"['Comedy', 'Slice of Life']",8.19,400.0,"['Nitori, Sasami']",twi4
Gajuu,131623,Manga,51.0,6.0,Finished,"['Action', 'Horror']",6.37,13936.0,"['Koike, Nokuto']",Comic Days
Gleipnir,93519,Manga,,,Publishing,"['Action', 'Mystery', 'Supernatural']",7.07,6756.0,"['Takeda, Sun']",Young Magazine the 3rd
Gokushufudou,112922,Manga,,,Publishing,"['Comedy', 'Romance', 'Slice of Life']",8.2,382.0,"['Oono, Kousuke']",Kurage Bunch
Grand Blue,70345,Manga,,,Publishing,"['Comedy', 'Slice of Life']",9.04,9.0,"['Inoue, Kenji', 'Yoshioka, Kimitake']",good! Afternoon
Guren 5,57399,Manga,14.0,3.0,Finished,['Action'],6.55,12628.0,"['Kodaka, Kazutaka', 'Shinoda, Riku']",Comic Gene
Hajime no Ippo,7,Manga,,,Publishing,"['Award Winning', 'Sports']",8.68,57.0,"['Morikawa, George']",Shounen Magazine (Weekly)
Henjo: Hen na Joshikousei Amaguri Senko,87466,Manga,,,Publishing,"['Comedy', 'Romance', 'Ecchi']",7.11,6162.0,"['Konogi, Yoshiru']",Young Animal
Hidarite no Tame no Nijuusou,129258,Manga,,,Publishing,"['Drama', 'Supernatural']",7.05,6928.0,"['Matsuoka, Kenta']",Shounen Magazine Edge
Hiraeth wa Tabiji no Hate,131498,Manga,,,Publishing,"['Adventure', 'Supernatural']",7.35,3680.0,"['Kamatani, Yuhki']",Morning Two
"Ijimeru Aitsu ga Warui no ka, Ijimerareta Boku ga Warui no ka?",127244,Manga,,,Publishing,['Drama'],7.21,5048.0,"['Hioka, Yen', 'Kimizuka, Chikara']",Gangan Online
"Ijiranaide, Nagatoro-san",110737,Manga,,,Publishing,"['Comedy', 'Slice of Life']",7.7,1501.0,['774'],Magazine pocket
Inu to Kuzu,138015,Manga,,,Publishing,"['Drama', 'Romance']",7.19,5252.0,"['Asaga, Iori']",Young Magazine (Weekly)
Ippo,56307,Manga,30.0,5.0,Finished,"['Drama', 'Slice of Life']",7.31,4067.0,['est em'],Jump X
"Isekai no Hime to no Koi Bakuchi ni, Jinrui no Sonbou ga Kakattemasu",140554,Manga,,,Publishing,"['Comedy', 'Fantasy', 'Romance']",6.93,8452.0,"['Kamiya, Zuzu', 'Kawamoto, Homura']",Champion RED
Jack Frost,4624,Manhwa,95.0,11.0,Finished,"['Action', 'Comedy', 'Horror', 'Supernatural']",7.01,7493.0,"['Go, Jin-Ho']",Booking
Jagaaaaaan,104314,Manga,163.0,14.0,Finished,"['Drama', 'Horror', 'Mystery', 'Supernatural']",7.54,2309.0,"['Kaneshiro, Muneyuki', 'Nishida, Kensuke']",Big Comic Spirits
Jigoku Kurayami Hana mo Naki,124243,Manga,,,Publishing,"['Fantasy', 'Horror', 'Mystery']",7.41,3182.0,"['Michio, Yoru', 'Toudou, Ruka']",Young Ace
JK kara Yarinaosu Silver Plan,125028,Manga,,,Publishing,"['Comedy', 'Drama']",7.36,3580.0,"['Im, Dal Young', 'Lee, Hye-sung']",Comic Valkyrie
Juujika no Rokunin,125076,Manga,,,Publishing,['Mystery'],7.15,5725.0,"['Nakatake, Shiryuu']",Magazine pocket
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,90125,Manga,,,Publishing,"['Award Winning', 'Comedy']",8.91,18.0,"['Akasaka, Aka']",Young Jump
Kaijuu 8-gou,127907,Manga,,,Publishing,"['Action', 'Fantasy', 'Horror', 'Sci-Fi']",7.82,1095.0,"['Matsumoto, Naoya']",Shounen Jump+
Kaijuu Jieitai,136124,Manga,,,Publishing,['Action'],,29787.0,"['Inoue, Junya']",Comic Bunch
Kare to Kanojo no Sentaku,126040,Manga,,,Publishing,['Romance'],6.97,7934.0,"['Ohara, Hiroki']",Comic Newtype
Kawaii dake ja Nai Shikimori-san,118196,Manga,,,Publishing,"['Comedy', 'Romance', 'Slice of Life']",7.82,1087.0,"['Maki, Keigo']",Magazine pocket
"Kekkon suru tte, Hontou desu ka",125182,Manga,,,Publishing,"['Romance', 'Slice of Life']",7.52,2410.0,"['Wakaki, Tamiki']",Big Comic Spirits
Kimi ni Koisuru Satsujinki,132463,Manga,,,Publishing,"['Drama', 'Romance', 'Suspense']",6.64,11769.0,"['Akiyama, Enma']",MangaONE
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,123681,Manga,,,Publishing,"['Comedy', 'Romance']",7.84,1050.0,"['Nozawa, Yukiko', 'Nakamura, Rikito']",Young Jump
Kobayashi-san Chi no Maid Dragon,80119,Manga,,,Publishing,"['Fantasy', 'Slice of Life']",7.99,708.0,['Cool-kyou Shinja'],Monthly Action
Koishita node Cast shitemita,124780,Manga,,,Publishing,['Comedy'],7.1,6277.0,"['Azuma, Tama']",Ganma!
Koko wa Ima kara Rinri desu.,106809,Manga,,,Publishing,['Drama'],8.35,226.0,"['Amase, Shiori']",Grand Jump Premium
"Komi-san wa, Comyushou desu.",99007,Manga,,,Publishing,"['Award Winning', 'Comedy']",8.27,306.0,"['Oda, Tomohito']",Shounen Sunday
Kubo-san wa Mob wo Yurusanai,122448,Manga,,,Publishing,"['Comedy', 'Romance']",7.93,817.0,"['Yukimori, Nene']",Young Jump
Kuchi ga Saketemo Kimi ni wa,128093,Manga,,,Publishing,"['Romance', 'Supernatural']",7.58,2068.0,"['Kajimoto, Akari']",Shounen Jump+
Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,136979,Manga,,,Publishing,"['Comedy', 'Romance']",7.43,3055.0,"['Kuze, Ran']",Shounen Magazine (Weekly)
Last Order,134045,Manga,,,Publishing,"['Action', 'Sci-Fi']",,29467.0,"['Matsuba, Satoru', 'Hamamatsu, Kasuga']",Comic Days
Lookism,111202,Manhwa,,,Publishing,"['Action', 'Comedy', 'Drama', 'Supernatural']",7.92,838.0,"['Park, Tae-Jun']",Naver Webtoon
Lv999 no Murabito,106785,Manga,,,Publishing,['Fantasy'],6.95,8245.0,"['Hoshizuki, Koneko', 'Iwamoto, Kenichi']",Comp Ace
Mairimashita! Iruma-kun,104241,Manga,,,Publishing,"['Comedy', 'Fantasy', 'Supernatural']",8.3,276.0,"['Nishi, Osamu']",Shounen Champion (Weekly)
Majo ni Sasageru Trick,129431,Manga,31.0,4.0,Finished,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",7.14,5835.0,"['Watanabe, Shizumu']",Shounen Magazine (Weekly)
Mashle,124085,Manga,,,Publishing,"['Action', 'Comedy', 'Supernatural']",7.65,1722.0,"['Koumoto, Hajime']",Shounen Jump (Weekly)
Mato Seihei no Slave,116880,Manga,,,Publishing,"['Action', 'Fantasy', 'Supernatural', 'Ecchi']",7.55,2272.0,"['Takemura, Youhei', 'Takahiro']",Shounen Jump+
Mieruko-chan,116790,Manga,,,Publishing,"['Comedy', 'Horror', 'Supernatural']",7.93,834.0,"['Izumi, Tomoki']",Web Comic Apanta
Migi to Dali,107774,Manga,44.0,7.0,Finished,"['Comedy', 'Suspense']",7.34,3813.0,"['Sano, Nami']",Harta
Mokushiroku no Yonkishi,128691,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.17,5515.0,"['Suzuki, Nakaba']",Shounen Magazine (Weekly)
MoMo: The Blood Taker,118494,Manga,96.0,9.0,Finished,"['Drama', 'Mystery']",6.9,8734.0,"['Sugito, Akira']",Young Jump
Munou na Nana,107500,Manga,,,Publishing,"['Supernatural', 'Suspense']",7.41,3184.0,"['Loose Boy', 'Furuya, Iori']",Shounen Gangan
Mystery to Iu nakare,111229,Manga,,,Publishing,"['Award Winning', 'Mystery']",7.94,797.0,"['Tamura, Yumi']",Flowers (Monthly)
Narikawari,120473,Manga,72.0,6.0,Finished,"['Drama', 'Mystery', 'Supernatural', 'Ecchi']",6.07,14991.0,"['Ooishi, Hiroto', 'Osada, Tohiki']",Magazine pocket
Nega-kun to Posi-chan,121354,Manga,58.0,4.0,Finished,['Comedy'],6.9,8855.0,"['Morita, Shunpei']",Dra-Dra Sharp#
Nejimaki Kagyuu,43525,Manga,159.0,16.0,Finished,"['Action', 'Comedy', 'Ecchi']",7.17,5490.0,"['Nakayama, Atsushi']",Young Jump
Nicola no Oyururi Makai Kikou,105399,Manga,25.0,4.0,Finished,"['Comedy', 'Fantasy', 'Slice of Life']",7.56,2184.0,"['Miyanaga, Asaya']",Harta
Nige Jouzu no Wakagimi,132845,Manga,,,Publishing,"['Adventure', 'Comedy']",6.4,13784.0,"['Matsui, Yuusei']",Shounen Jump (Weekly)
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,125530,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.04,7099.0,"['Kawakami, Masaki', 'Fuji, Shinta']",ComicWalker
Ninkyou Tensei: Isekai no Yakuza Hime,123065,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.53,2374.0,"['Natsuhara, Takeshi', 'Miyashita, Hiroki']",Sunday Gene-X
Ojisama to Neko,112774,Manga,,,Publishing,['Slice of Life'],8.29,294.0,"['Sakurai, Umi']",Gangan pixiv
Omniscient Reader,132214,Manhwa,,,Publishing,"['Action', 'Adventure', 'Fantasy']",8.36,216.0,"['sing N song', 'Sleepy-C']",Naver Webtoon
Oni no Youna Love Comedy,115192,Manga,41.0,5.0,Finished,"['Comedy', 'Romance']",6.65,11625.0,"['Izumi, Katsuki']",Shounen Champion (Weekly)
Owari no Seraph,43661,Manga,,,Publishing,"['Action', 'Drama', 'Supernatural']",7.8,1158.0,"['Yamamoto, Yamato', 'Kagami, Takaya', 'Furuya, Daisuke']",Jump SQ.
Platinum End,93180,Manga,58.0,14.0,Finished,"['Drama', 'Supernatural']",6.81,9865.0,"['Obata, Takeshi', 'Ohba, Tsugumi']",Jump SQ.
Plunderer,81681,Manga,82.0,21.0,Finished,"['Action', 'Fantasy']",7.35,3678.0,"['Minazuki, Suu']",Shounen Ace
Ponkotsu Fuuki Iin to Skirt-take ga Futekisetsu na JK no Hanashi,119260,Manga,,,Publishing,['Comedy'],7.63,1815.0,"['Yokota, Takuma']",Shounen Sirius
Radiation House,93561,Manga,,,Publishing,['Drama'],7.64,1798.0,"['Mori, Taishi', 'Yokomaku, Tomohiro']",Grand Jump
Real Account,65685,Manga,194.0,24.0,Finished,"['Drama', 'Sci-Fi']",7.15,5735.0,"['Watanabe, Shizumu', 'Okushou']",Bessatsu Shounen Magazine
Rebuild World,122147,Manga,,,Publishing,"['Action', 'Sci-Fi']",7.76,1297.0,"['Ayamura, Kirihito', 'Nafuse']",Dengeki Maoh
Saihate no Paladin,109339,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.84,1048.0,"['Okuhashi, Mutsumi', 'Yanagino, Kanata']",Comic Gardo
Samayoeru Tenseisha-tachi no Revival Game,120464,Manga,26.0,4.0,Finished,"['Adventure', 'Fantasy', 'Ecchi']",6.62,12005.0,"['Saitou, Kenji', 'Hino, Haruto']",Dragon Age
Sankarea,18597,Manga,59.0,11.0,Finished,"['Comedy', 'Horror', 'Romance', 'Supernatural', 'Ecchi']",7.69,1548.0,"['Hattori, Mitsuru']",Bessatsu Shounen Magazine
"Seibetsu ""Mona Lisa"" no Kimi e.",114381,Manga,,,Publishing,"['Drama', 'Romance']",7.33,3832.0,"['Yoshimura, Tsumuji']",Gangan Online
Senryuu Shoujo,105430,Manga,185.0,13.0,Finished,"['Comedy', 'Slice of Life']",8.06,597.0,"['Igarashi, Masakuni']",Shounen Magazine (Weekly)
Shinigami Bocchan to Kuro Maid,110029,Manga,,,Publishing,"['Comedy', 'Drama']",7.81,1141.0,"['Inoue, Koharu']",Sunday Webry
Shinu hodo Kimi no Shojo ga Hoshii,129815,Manga,63.0,7.0,Finished,"['Drama', 'Romance']",7.27,4514.0,['Tearontaron'],Magazine pocket
Shoujo Manga Shujinkou x Rival-san,125870,Manga,47.0,4.0,Finished,"['Comedy', 'Girls Love']",7.18,5347.0,['Kuu'],Gangan Joker
Shounen no Abyss,126699,Manga,,,Publishing,['Drama'],7.48,2688.0,"['Minenami, Ryou']",Young Jump
Shuumatsu no Walk�re,110485,Manga,,,Publishing,"['Action', 'Drama', 'Supernatural']",8.19,399.0,"['Fukui, Takumi', 'Umemura, Shinya', 'Ajichika']",Comic Zenon
Shy,121197,Manga,,,Publishing,"['Action', 'Drama']",7.18,5395.0,"['Miki, Bukimi']",Shounen Champion (Weekly)
Smokin' Parade,91731,Manga,49.0,10.0,Finished,"['Drama', 'Supernatural']",7.17,5445.0,"['Kondou, Kazuma', 'Kataoka, Jinsei']",Shounen Ace
Solo Leveling,121496,Manhwa,,,Finished,"['Action', 'Adventure', 'Fantasy']",8.74,43.0,"['Chugong', 'Jang, Sung-rak']",Kakao
Sono Bisque Doll wa Koi wo Suru,112268,Manga,,,Publishing,['Slice of Life'],8.09,539.0,"['Fukuda, Shinichi']",Young Gangan
Spy x Family,119161,Manga,,,Publishing,"['Action', 'Comedy']",8.65,64.0,"['Endou, Tatsuya']",Shounen Jump+
Subete no Jinrui wo Hakai suru. Sorera wa Saisei Dekinai.,116539,Manga,,,Publishing,[],8.08,557.0,"['Yokota, Takuma', 'Ise, Katsura']",Shounen Ace
Sun-Ken Rock,8848,Manga,181.0,25.0,Finished,"['Action', 'Comedy', 'Drama', 'Ecchi']",7.97,742.0,['Boichi'],Young King
Survival: Shounen S no Kiroku,89413,Manga,96.0,5.0,Finished,['Drama'],6.92,8623.0,"['Saitou, Takao', 'Miyagawa, Akira']",Manga Box
Sword Art Online: Progressive,43921,Light Novel,,,Publishing,"['Action', 'Adventure', 'Fantasy', 'Romance']",8.28,303.0,"['BUNBUN', 'Kawahara, Reki']",Dengeki Bunko Magazine
Taimashi to Akuma-chan,112352,Manga,60.0,4.0,Finished,['Fantasy'],7.47,2709.0,"['Tonami, Shou']",Dengeki Daioh
Tajuu Jinkaku Tantei Psycho,740,Manga,155.0,24.0,Finished,['Mystery'],7.74,1360.0,"['Tajima, Shouu', 'Otsuka, Eiji']",Young Ace
Tantei no Tantei,106199,Manga,22.0,2.0,Finished,"['Action', 'Drama', 'Mystery']",6.65,11674.0,"['Kiyohara, Hiro', 'Matsuoka, Keisuke']",Young Magazine (Weekly)
The Boxer,141120,Manhwa,,,Publishing,"['Action', 'Drama', 'Sports']",8.35,224.0,"['Jeong, Ji-Hoon']",Naver Webtoon
Tomodachi Game,62795,Manga,,,Publishing,[],8.23,351.0,"['Yamaguchi, Mikoto', 'Satou, Yuuki']",Bessatsu Shounen Magazine
Tonikaku Kawaii,112589,Manga,,,Publishing,"['Comedy', 'Romance']",8.25,335.0,"['Hata, Kenjirou']",Shounen Sunday
Toshiue Elite Onna Kishi ga Boku no Mae de dake Kawaii,123094,Manga,,,Publishing,"['Comedy', 'Fantasy', 'Romance']",7.05,7005.0,"['Takata', 'Yoshino, Sousuke']",Young Ace UP
Tougen Anki,127436,Manga,,,Publishing,"['Action', 'Fantasy', 'Supernatural']",7.18,5400.0,"['Urushibara, Yura']",Shounen Champion (Weekly)
Trillion Game,132071,Manga,,,Publishing,['Drama'],7.52,2466.0,"['Inagaki, Riichiro', 'Ikegami, Ryoichi']",Big Comic Superior
True Beauty,130538,Manhwa,,,Publishing,"['Comedy', 'Drama', 'Romance']",6.55,12590.0,['Yaongyi'],Naver Webtoon
Urasekai Picnic,110766,Manga,,,Publishing,"['Action', 'Fantasy', 'Mystery']",7.65,1713.0,"['Mizuno, Eita', 'Miyazawa, Iori']",Shounen Gangan
Usotsuki Satsuki wa Shi ga Mieru,132078,Manga,,,Publishing,"['Horror', 'Supernatural']",7.58,2067.0,['Ryouko'],MangaONE
Viral Hit,139164,Manhwa,,,Publishing,['Action'],8.08,560.0,"['Kim, Jung-Hyun', 'Park, Tae-Jun']",Naver Webtoon
White Blood,131843,Manhwa,,,Finished,"['Action', 'Romance', 'Supernatural']",7.96,750.0,"['Im, Lina']",Naver Webtoon
Wondance,127120,Manga,,,Publishing,"['Romance', 'Sports']",7.9,883.0,['Coffee'],Afternoon
Yakuza no Oooyabun ga Youjo ni Umarekawatta Hanashi,121857,Manga,,,Publishing,['Comedy'],6.73,10807.0,['Ameno'],Gangan pixiv
Yakyuu de Sensou suru Isekai de Chou Koukou-kyuu Ace ga Jakushou Kokka wo Sukuu you desu.,132636,Manga,,,Publishing,"['Fantasy', 'Sports']",6.79,10134.0,"['Misora, Riku', 'Nishida, Takuya']",Suiyoubi no Sirius
Yankee wa Isekai de Seirei ni Aisaremasu.,105366,Manga,42.0,5.0,Finished,"['Action', 'Comedy', 'Fantasy']",6.58,12377.0,"['Sasaki, Akane', 'Kuroi, Heiho']",AlphaPolis Web Manga
Yankee-kun to Hakujou Girl,118712,Manga,,,Publishing,"['Comedy', 'Romance']",7.62,1883.0,"['Kodama, Jun']",Niconico Seiga
Yoru ni Naru to Boku wa,114551,Manga,34.0,4.0,Finished,"['Action', 'Drama', 'Supernatural']",7.06,6892.0,"['Masuko, Yuu', 'Ninomae, Kakeru']",Shounen Magazine (Weekly)
Yozakura-san Chi no Daisakusen,121426,Manga,,,Publishing,"['Action', 'Comedy', 'Romance']",7.61,1938.0,"['Gondaira, Hitsuji']",Shounen Jump (Weekly)
Yuusha ga Shinda!: Murabito no Ore ga Hotta Otoshiana ni Yuusha ga Ochita Kekka.,85941,Manga,202.0,20.0,Finished,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Ecchi']",7.48,2659.0,['Subaruichi'],MangaONE
Akarui Kioku Soushitsu,103162,Manga,67.0,6.0,Finished,"['Comedy', 'Girls Love']",7.53,2343.0,"['Oku, Tamamushi']",Comic Cune
Ansatsu Kyoushitsu,39883,Manga,187.0,21.0,Finished,"['Action', 'Comedy']",8.28,302.0,"['Matsui, Yuusei']",Shounen Jump (Weekly)
Barakamon,17051,Manga,135.0,18.0,Finished,"['Comedy', 'Slice of Life']",8.44,155.0,"['Yoshino, Satsuki']",Gangan Online
Bleach: Gokui Meimei-hen,139152,One-shot,1.0,,Finished,"['Action', 'Supernatural']",7.86,1003.0,"['Kubo, Tite']",Shounen Jump (Weekly)
Blood Lad,21614,Manga,85.0,17.0,Finished,"['Action', 'Comedy', 'Supernatural']",7.6,1976.0,"['Kodama, Yuuki']",Young Ace
Boku Girl,63781,Manga,107.0,11.0,Finished,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",7.45,2850.0,"['Sugito, Akira']",Young Jump
"Boku no Namae wa ""Shounen A""",110619,Manga,32.0,4.0,Finished,['Drama'],6.61,11824.0,"['Hioka, Yen', 'Kimizuka, Chikara']",Gangan Online
Bokura no Sentaku,110360,Manga,16.0,3.0,Finished,"['Action', 'Supernatural']",6.52,12894.0,"['Sazanami, Misa']",Comic Gene
Chikyuu no Houkago,71363,Manga,36.0,6.0,Finished,"['Mystery', 'Sci-Fi', 'Slice of Life', 'Ecchi']",7.22,4928.0,"['Yoshitomi, Akihito']",Champion RED
