Akai Kiri no Naka kara,129984,Manga,,,Publishing,[],7.45,2921.0,"['Nohara; Mosae']",GFantasy
Akai Ringo,131434,Manga,,,Publishing,"['Drama'; 'Erotica']",6.0,,"['Murata; Kouji']",Comic Days
Asshou,104523,Manga,,,Publishing,"['Mystery'; 'Romance'; 'Slice of Life']",5.36,15481.0,['Shoko'],Ura Sunday
Ayakashi Triangle,127545,Manga,,,Publishing,"['Action'; 'Comedy'; 'Romance'; 'Ecchi']",6.64,11742.0,"['Yabuki; Kentarou']",Shounen Jump (Weekly)
Blue Lock,114745,Manga,,,Publishing,"['Award Winning'; 'Sports']",8.44,154.0,"['Kaneshiro; Muneyuki'; 'Nomura; Yuusuke']",Shounen Magazine (Weekly)
Brutal: Satsujin Keisatsukan no Kokuhaku,122936,Manga,,,Publishing,['Drama'],7.84,1045.0,"['Koga; Kei'; 'Izawa; Ryou']",Comic Tatan
Btooom!,20593,Manga,125.0,27.0,Finished,"['Action'; 'Drama'; 'Sci-Fi'; 'Erotica']",7.56,,"['Inoue; Junya']",Comic@Bunch
Candy & Cigarettes,103444,Manga,54.0,11.0,Finished,['Action'],7.44,2955.0,"['Inoue; Tomonori']",Young Magazine (Monthly)
Chi no Wadachi,104271,Manga,,,Publishing,['Drama'],8.02,656.0,"['Oshimi; Shuuzou']",Big Comic Superior
Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin,106810,Manga,,,Publishing,"['Action'; 'Fantasy']",7.36,3611.0,"['Kugayama; Reki'; 'Kurokata']",Comp Ace
Choujin X,131403,Manga,,,Publishing,"['Action'; 'Supernatural']",7.13,5943.0,"['Ishida; Sui']",Tonari no Young Jump
Dandadan,135496,Manga,,,Publishing,"['Action'; 'Comedy'; 'Sci-Fi'; 'Supernatural']",8.16,436.0,"['Tatsu; Yukinobu']",Shounen Jump+
Dead Tube,78943,Manga,,,Publishing,['Erotica'],6.69,,"['Kitakawa; Touta'; 'Yamaguchi; Mikoto']",Champion RED
Deatte 5-byou de Battle,102690,Manga,,,Publishing,"['Action'; 'Supernatural']",7.32,3999.0,"['Kashiwa; Miyako'; 'Harawata; Saizou']",Ura Sunday
Dokuzakura,122355,Manga,33.0,5.0,Finished,"['Drama'; 'Supernatural'; 'Suspense'; 'Ecchi']",6.51,12965.0,"['MITA'; 'Yamamoto; Yamii']",MangaONE
"Dorei Tensei: Sono Dorei; Saikyou no Moto Ouji ni Tsuki",130626,Manga,,,Publishing,"['Action'; 'Adventure'; 'Fantasy']",6.88,9061.0,"['Karayumi'; 'Haraguchi; Fuuta']",Magazine pocket
Dosanko Gal wa Namara Menkoi,121597,Manga,,,Publishing,['Comedy'],7.12,6117.0,"['Ikada; Kai']",Shounen Jump+
"Fukushuu wo Koinegau Saikyou Yuusha wa; Yami no Chikara de Senmetsu Musou suru",118026,Manga,,,Publishing,"['Action'; 'Drama'; 'Fantasy']",6.83,9678.0,"['Sakamoto; Akira'; 'Ononata; Manimani']",Suiyoubi wa Mattari Dash X Comic
Fumetsu no Anata e,102343,Manga,,,Publishing,"['Adventure'; 'Award Winning'; 'Drama'; 'Supernatural']",8.4,183.0,"['Ooima; Yoshitoki']",Shounen Magazine (Weekly)
Fushi no Sougishi,124020,Manga,,,Publishing,"['Action'; 'Drama'; 'Romance']",6.7,11102.0,"['Kiyomiya; Kousuke']",Ganma!
Fushigi Neko no Kyuu-chan,112694,Manga,,,Publishing,"['Comedy'; 'Slice of Life']",8.19,400.0,"['Nitori; Sasami']",twi4
Gajuu,131623,Manga,51.0,6.0,Finished,"['Action'; 'Horror']",6.37,13936.0,"['Koike; Nokuto']",Comic Days
Gleipnir,93519,Manga,,,Publishing,"['Action'; 'Mystery'; 'Supernatural']",7.07,6756.0,"['Takeda; Sun']",Young Magazine the 3rd
Gokushufudou,112922,Manga,,,Publishing,"['Comedy'; 'Romance'; 'Slice of Life']",8.2,382.0,"['Oono; Kousuke']",Kurage Bunch
Grand Blue,70345,Manga,,,Publishing,"['Comedy'; 'Slice of Life']",9.04,9.0,"['Inoue; Kenji'; 'Yoshioka; Kimitake']",good! Afternoon
Guren 5,57399,Manga,14.0,3.0,Finished,['Action'],6.55,12628.0,"['Kodaka; Kazutaka'; 'Shinoda; Riku']",Comic Gene
Hajime no Ippo,7,Manga,,,Publishing,"['Award Winning'; 'Sports']",8.68,57.0,"['Morikawa; George']",Shounen Magazine (Weekly)
Henjo: Hen na Joshikousei Amaguri Senko,87466,Manga,,,Publishing,"['Comedy'; 'Romance'; 'Ecchi']",7.11,6162.0,"['Konogi; Yoshiru']",Young Animal
Hidarite no Tame no Nijuusou,129258,Manga,,,Publishing,"['Drama'; 'Supernatural']",7.05,6928.0,"['Matsuoka; Kenta']",Shounen Magazine Edge
Hiraeth wa Tabiji no Hate,131498,Manga,,,Publishing,"['Adventure'; 'Supernatural']",7.35,3680.0,"['Kamatani; Yuhki']",Morning Two
"Ijimeru Aitsu ga Warui no ka; Ijimerareta Boku ga Warui no ka?",127244,Manga,,,Publishing,['Drama'],7.21,5048.0,"['Hioka; Yen'; 'Kimizuka; Chikara']",Gangan Online
"Ijiranaide; Nagatoro-san",110737,Manga,,,Publishing,"['Comedy'; 'Slice of Life']",7.7,1501.0,['774'],Magazine pocket
Inu to Kuzu,138015,Manga,,,Publishing,"['Drama'; 'Romance']",7.19,5252.0,"['Asaga; Iori']",Young Magazine (Weekly)
Ippo,56307,Manga,30.0,5.0,Finished,"['Drama'; 'Slice of Life']",7.31,4067.0,['est em'],Jump X
"Isekai no Hime to no Koi Bakuchi ni; Jinrui no Sonbou ga Kakattemasu",140554,Manga,,,Publishing,"['Comedy'; 'Fantasy'; 'Romance']",6.93,8452.0,"['Kamiya; Zuzu'; 'Kawamoto; Homura']",Champion RED
Jack Frost,4624,Manhwa,95.0,11.0,Finished,"['Action'; 'Comedy'; 'Horror'; 'Supernatural']",7.01,7493.0,"['Go; Jin-Ho']",Booking
Jagaaaaaan,104314,Manga,163.0,14.0,Finished,"['Drama'; 'Horror'; 'Mystery'; 'Supernatural']",7.54,2309.0,"['Kaneshiro; Muneyuki'; 'Nishida; Kensuke']",Big Comic Spirits
Jigoku Kurayami Hana mo Naki,124243,Manga,,,Publishing,"['Fantasy'; 'Horror'; 'Mystery']",7.41,3182.0,"['Michio; Yoru'; 'Toudou; Ruka']",Young Ace
JK kara Yarinaosu Silver Plan,125028,Manga,,,Publishing,"['Comedy'; 'Drama']",7.36,3580.0,"['Im; Dal Young'; 'Lee; Hye-sung']",Comic Valkyrie
Juujika no Rokunin,125076,Manga,,,Publishing,['Mystery'],7.15,5725.0,"['Nakatake; Shiryuu']",Magazine pocket
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,90125,Manga,,,Publishing,"['Award Winning'; 'Comedy']",8.91,18.0,"['Akasaka; Aka']",Young Jump
Kaijuu 8-gou,127907,Manga,,,Publishing,"['Action'; 'Fantasy'; 'Horror'; 'Sci-Fi']",7.82,1095.0,"['Matsumoto; Naoya']",Shounen Jump+
Kaijuu Jieitai,136124,Manga,,,Publishing,['Action'],,29787.0,"['Inoue; Junya']",Comic Bunch
Kare to Kanojo no Sentaku,126040,Manga,,,Publishing,['Romance'],6.97,7934.0,"['Ohara; Hiroki']",Comic Newtype
Kawaii dake ja Nai Shikimori-san,118196,Manga,,,Publishing,"['Comedy'; 'Romance'; 'Slice of Life']",7.82,1087.0,"['Maki; Keigo']",Magazine pocket
"Kekkon suru tte; Hontou desu ka",125182,Manga,,,Publishing,"['Romance'; 'Slice of Life']",7.52,2410.0,"['Wakaki; Tamiki']",Big Comic Spirits
Kimi ni Koisuru Satsujinki,132463,Manga,,,Publishing,"['Drama'; 'Romance'; 'Suspense']",6.64,11769.0,"['Akiyama; Enma']",MangaONE
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,123681,Manga,,,Publishing,"['Comedy'; 'Romance']",7.84,1050.0,"['Nozawa; Yukiko'; 'Nakamura; Rikito']",Young Jump
Kobayashi-san Chi no Maid Dragon,80119,Manga,,,Publishing,"['Fantasy'; 'Slice of Life']",7.99,708.0,['Cool-kyou Shinja'],Monthly Action
Koishita node Cast shitemita,124780,Manga,,,Publishing,['Comedy'],7.1,6277.0,"['Azuma; Tama']",Ganma!
Koko wa Ima kara Rinri desu.,106809,Manga,,,Publishing,['Drama'],8.35,226.0,"['Amase; Shiori']",Grand Jump Premium
"Komi-san wa; Comyushou desu.",99007,Manga,,,Publishing,"['Award Winning'; 'Comedy']",8.27,306.0,"['Oda; Tomohito']",Shounen Sunday
Kubo-san wa Mob wo Yurusanai,122448,Manga,,,Publishing,"['Comedy'; 'Romance']",7.93,817.0,"['Yukimori; Nene']",Young Jump
Kuchi ga Saketemo Kimi ni wa,128093,Manga,,,Publishing,"['Romance'; 'Supernatural']",7.58,2068.0,"['Kajimoto; Akari']",Shounen Jump+
Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,136979,Manga,,,Publishing,"['Comedy'; 'Romance']",7.43,3055.0,"['Kuze; Ran']",Shounen Magazine (Weekly)
Last Order,134045,Manga,,,Publishing,"['Action'; 'Sci-Fi']",,29467.0,"['Matsuba; Satoru'; 'Hamamatsu; Kasuga']",Comic Days
Lookism,111202,Manhwa,,,Publishing,"['Action'; 'Comedy'; 'Drama'; 'Supernatural']",7.92,838.0,"['Park; Tae-Jun']",Naver Webtoon
Lv999 no Murabito,106785,Manga,,,Publishing,['Fantasy'],6.95,8245.0,"['Hoshizuki; Koneko'; 'Iwamoto; Kenichi']",Comp Ace
Mairimashita! Iruma-kun,104241,Manga,,,Publishing,"['Comedy'; 'Fantasy'; 'Supernatural']",8.3,276.0,"['Nishi; Osamu']",Shounen Champion (Weekly)
Majo ni Sasageru Trick,129431,Manga,31.0,4.0,Finished,"['Adventure'; 'Comedy'; 'Fantasy'; 'Romance']",7.14,5835.0,"['Watanabe; Shizumu']",Shounen Magazine (Weekly)
Mashle,124085,Manga,,,Publishing,"['Action'; 'Comedy'; 'Supernatural']",7.65,1722.0,"['Koumoto; Hajime']",Shounen Jump (Weekly)
Mato Seihei no Slave,116880,Manga,,,Publishing,"['Action'; 'Fantasy'; 'Supernatural'; 'Ecchi']",7.55,2272.0,"['Takemura; Youhei'; 'Takahiro']",Shounen Jump+
Mieruko-chan,116790,Manga,,,Publishing,"['Comedy'; 'Horror'; 'Supernatural']",7.93,834.0,"['Izumi; Tomoki']",Web Comic Apanta
Migi to Dali,107774,Manga,44.0,7.0,Finished,"['Comedy'; 'Suspense']",7.34,3813.0,"['Sano; Nami']",Harta
Mokushiroku no Yonkishi,128691,Manga,,,Publishing,"['Action'; 'Adventure'; 'Fantasy']",7.17,5515.0,"['Suzuki; Nakaba']",Shounen Magazine (Weekly)
MoMo: The Blood Taker,118494,Manga,96.0,9.0,Finished,"['Drama'; 'Mystery']",6.9,8734.0,"['Sugito; Akira']",Young Jump
Munou na Nana,107500,Manga,,,Publishing,"['Supernatural'; 'Suspense']",7.41,3184.0,"['Loose Boy'; 'Furuya; Iori']",Shounen Gangan
Mystery to Iu nakare,111229,Manga,,,Publishing,"['Award Winning'; 'Mystery']",7.94,797.0,"['Tamura; Yumi']",Flowers (Monthly)
